Country,Model,RS_Causes_Prop,CW_Causes_Prop
Bahrain,DPE,0.75,0.0
Bahrain,ETC-P,0.5,0.3333
Bahrain,ETC-E,0.5,0.0
Bahrain,LZ-P,0.25,0.3333
Bangladesh,DPE,0.568,0.9354
Bangladesh,ETC-P,0.2554,0.0
Bangladesh,ETC-E,0.2864,0.4689
Bangladesh,LZ-P,0.8329,0.1459
Bhutan,DPE,0.6818,0.3333
Bhutan,ETC-P,0.5455,0.0952
Bhutan,ETC-E,0.1364,1.0
Bhutan,LZ-P,0.6818,0.0476
Cambodia,DPE,0.0,0.0
Cambodia,ETC-P,0.0,0.0
Cambodia,ETC-E,0.0,0.0
Cambodia,LZ-P,1.0,0.0
China,DPE,0.3363,0.346
China,ETC-P,0.576,0.3783
China,ETC-E,0.1667,0.827
China,LZ-P,0.5643,0.2551
France,DPE,0.009,0.9593
France,ETC-P,0.9352,0.7436
France,ETC-E,0.0,0.1523
France,LZ-P,0.9804,0.0106
Georgia,DPE,0.1905,0.45
Georgia,ETC-P,0.5714,0.25
Georgia,ETC-E,0.0476,0.75
Georgia,LZ-P,0.7619,0.2
Hong Kong,DPE,0.5179,0.7273
Hong Kong,ETC-P,0.8214,0.2182
Hong Kong,ETC-E,0.1071,0.8727
Hong Kong,LZ-P,0.8214,0.8727
India,DPE,0.4815,0.3077
India,ETC-P,0.3333,0.0385
India,ETC-E,0.0,0.3846
India,LZ-P,0.8148,0.8846
Iran,DPE,0.7273,0.2
Iran,ETC-P,0.7273,0.7
Iran,ETC-E,0.0,0.6
Iran,LZ-P,0.6364,0.1
Iraq,DPE,0.25,0.3333
Iraq,ETC-P,1.0,0.3333
Iraq,ETC-E,0.0,0.3333
Iraq,LZ-P,0.75,0.3333
Japan,DPE,0.6172,0.0
Japan,ETC-P,0.3294,0.8304
Japan,ETC-E,0.0119,0.0357
Japan,LZ-P,0.8546,0.0
Jordan,DPE,0.1383,0.9973
Jordan,ETC-P,0.0798,0.0293
Jordan,ETC-E,0.4574,0.8587
Jordan,LZ-P,0.9468,0.0107
Kazakhstan,DPE,0.0,0.0
Kazakhstan,ETC-P,0.0,0.0
Kazakhstan,ETC-E,0.0,0.0
Kazakhstan,LZ-P,1.0,0.0
Netherlands,DPE,0.3333,0.0
Netherlands,ETC-P,0.0,0.0
Netherlands,ETC-E,1.0,0.0
Netherlands,LZ-P,0.6667,0.0
Russia,DPE,0.2353,0.5
Russia,ETC-P,0.2941,0.1875
Russia,ETC-E,0.0588,0.375
Russia,LZ-P,0.9412,0.0
Saudi Arabia,DPE,0.4783,0.4444
Saudi Arabia,ETC-P,0.1304,0.6222
Saudi Arabia,ETC-E,0.1957,0.0889
Saudi Arabia,LZ-P,0.8913,0.6
South Korea,DPE,0.6111,0.7143
South Korea,ETC-P,0.6667,0.2571
South Korea,ETC-E,0.3889,0.8286
South Korea,LZ-P,0.5,0.0571
USA,DPE,0.3389,0.8072
USA,ETC-P,0.4289,0.6681
USA,ETC-E,0.1076,0.2672
USA,LZ-P,0.764,0.0625
