k,Model,Type,X_to_Y,Y_to_X,Ind,Accuracy
5,DPE,Original,100,0,0,1.0
5,ETC-P,Original,12,9,79,0.12
5,ETC-E,Original,31,36,33,0.31
5,LZ-P,Original,0,0,100,0.0
5,DPE,Reconstructed,0,0,100,0.0
5,ETC-P,Reconstructed,0,0,100,0.0
5,ETC-E,Reconstructed,0,0,100,0.0
5,LZ-P,Reconstructed,0,0,100,0.0
10,DPE,Original,100,0,0,1.0
10,ETC-P,Original,19,18,63,0.19
10,ETC-E,Original,42,30,28,0.42
10,LZ-P,Original,0,1,99,0.0
10,DPE,Reconstructed,0,0,100,0.0
10,ETC-P,Reconstructed,0,0,100,0.0
10,ETC-E,Reconstructed,0,0,100,0.0
10,LZ-P,Reconstructed,0,0,100,0.0
15,DPE,Original,100,0,0,1.0
15,ETC-P,Original,17,17,66,0.17
15,ETC-E,Original,35,31,34,0.35
15,LZ-P,Original,0,1,99,0.0
15,DPE,Reconstructed,0,0,100,0.0
15,ETC-P,Reconstructed,0,0,100,0.0
15,ETC-E,Reconstructed,0,0,100,0.0
15,LZ-P,Reconstructed,0,0,100,0.0
20,DPE,Original,100,0,0,1.0
20,ETC-P,Original,27,21,52,0.27
20,ETC-E,Original,38,37,25,0.38
20,LZ-P,Original,0,0,100,0.0
20,DPE,Reconstructed,0,0,100,0.0
20,ETC-P,Reconstructed,0,0,100,0.0
20,ETC-E,Reconstructed,0,0,100,0.0
20,LZ-P,Reconstructed,0,0,100,0.0
25,DPE,Original,100,0,0,1.0
25,ETC-P,Original,17,20,63,0.17
25,ETC-E,Original,40,33,27,0.4
25,LZ-P,Original,2,0,98,0.02
25,DPE,Reconstructed,0,0,100,0.0
25,ETC-P,Reconstructed,0,0,100,0.0
25,ETC-E,Reconstructed,0,0,100,0.0
25,LZ-P,Reconstructed,0,0,100,0.0
30,DPE,Original,100,0,0,1.0
30,ETC-P,Original,23,31,46,0.23
30,ETC-E,Original,34,33,33,0.34
30,LZ-P,Original,5,1,94,0.05
30,DPE,Reconstructed,0,0,100,0.0
30,ETC-P,Reconstructed,0,0,100,0.0
30,ETC-E,Reconstructed,0,0,100,0.0
30,LZ-P,Reconstructed,0,0,100,0.0
35,DPE,Original,100,0,0,1.0
35,ETC-P,Original,27,26,47,0.27
35,ETC-E,Original,27,34,39,0.27
35,LZ-P,Original,2,0,98,0.02
35,DPE,Reconstructed,0,0,100,0.0
35,ETC-P,Reconstructed,0,0,100,0.0
35,ETC-E,Reconstructed,0,0,100,0.0
35,LZ-P,Reconstructed,0,0,100,0.0
40,DPE,Original,100,0,0,1.0
40,ETC-P,Original,19,24,57,0.19
40,ETC-E,Original,26,40,34,0.26
40,LZ-P,Original,5,1,94,0.05
40,DPE,Reconstructed,0,0,100,0.0
40,ETC-P,Reconstructed,0,0,100,0.0
40,ETC-E,Reconstructed,0,0,100,0.0
40,LZ-P,Reconstructed,0,0,100,0.0
45,DPE,Original,100,0,0,1.0
45,ETC-P,Original,26,24,50,0.26
45,ETC-E,Original,27,35,38,0.27
45,LZ-P,Original,2,0,98,0.02
45,DPE,Reconstructed,0,0,100,0.0
45,ETC-P,Reconstructed,0,0,100,0.0
45,ETC-E,Reconstructed,0,0,100,0.0
45,LZ-P,Reconstructed,0,0,100,0.0
50,DPE,Original,100,0,0,1.0
50,ETC-P,Original,26,31,43,0.26
50,ETC-E,Original,35,31,34,0.35
50,LZ-P,Original,6,5,89,0.06
50,DPE,Reconstructed,0,0,100,0.0
50,ETC-P,Reconstructed,0,0,100,0.0
50,ETC-E,Reconstructed,0,0,100,0.0
50,LZ-P,Reconstructed,0,0,100,0.0
